Totals :  requests (207), responses (207), http errors (0), average response time: 338.12 ms.
second 0: 3 requests - average time: 207.5 ms, timeouts: 0, responses received: [200]
second 1: 3 requests - average time: 203.33 ms, timeouts: 0, responses received: [200]
second 2: 2 requests - average time: 371 ms, timeouts: 0, responses received: [200]
second 3: 1 requests - average time: 476 ms, timeouts: 0, responses received: [200]
second 4: 3 requests - average time: 183.5 ms, timeouts: 0, responses received: [200]
second 5: 2 requests - average time: 495 ms, timeouts: 0, responses received: [200]
second 6: 3 requests - average time: 251.67 ms, timeouts: 0, responses received: [200]
second 7: 1 requests - average time: 286 ms, timeouts: 0, responses received: [200]
second 8: 3 requests - average time: 298.17 ms, timeouts: 0, responses received: [200]
second 9: 10 requests - average time: 58.06 ms, timeouts: 0, responses received: [200]
second 10: 10 requests - average time: 53.92 ms, timeouts: 0, responses received: [200]
second 11: 1 requests - average time: 282 ms, timeouts: 0, responses received: [200]
second 12: 1 requests - average time: 447 ms, timeouts: 0, responses received: [200]
second 13: 4 requests - average time: 185.96 ms, timeouts: 0, responses received: [200]
second 14: 2 requests - average time: 200 ms, timeouts: 0, responses received: [200]
second 15: 8 requests - average time: 73.76 ms, timeouts: 0, responses received: [200]
second 16: 9 requests - average time: 59.31 ms, timeouts: 0, responses received: [200]
second 17: 12 requests - average time: 37.98 ms, timeouts: 0, responses received: [200]
second 18: 8 requests - average time: 73.25 ms, timeouts: 0, responses received: [200]
second 19: 9 requests - average time: 60.91 ms, timeouts: 0, responses received: [200]
second 20: 4 requests - average time: 179.67 ms, timeouts: 0, responses received: [200]
second 21: 5 requests - average time: 121.26 ms, timeouts: 0, responses received: [200]
second 22: 5 requests - average time: 124.11 ms, timeouts: 0, responses received: [200]
second 23: 1 requests - average time: 456 ms, timeouts: 0, responses received: [200]
second 24: 4 requests - average time: 156.58 ms, timeouts: 0, responses received: [200]
second 25: 1 requests - average time: 488 ms, timeouts: 0, responses received: [200]
second 26: 3 requests - average time: 225.17 ms, timeouts: 0, responses received: [200]
second 27: 1 requests - average time: 346 ms, timeouts: 0, responses received: [200]
second 28: 3 requests - average time: 234.17 ms, timeouts: 0, responses received: [200]
second 29: 4 requests - average time: 165.17 ms, timeouts: 0, responses received: [200]
second 30: 2 requests - average time: 255.5 ms, timeouts: 0, responses received: [200]
second 31: 1 requests - average time: 321 ms, timeouts: 0, responses received: [200]
second 32: 3 requests - average time: 261.17 ms, timeouts: 0, responses received: [200]
second 33: 1 requests - average time: 368 ms, timeouts: 0, responses received: [200]
second 34: 3 requests - average time: 211 ms, timeouts: 0, responses received: [200]
second 35: 3 requests - average time: 209.17 ms, timeouts: 0, responses received: [200]
second 36: 1 requests - average time: 462 ms, timeouts: 0, responses received: [200]
second 37: 4 requests - average time: 171.04 ms, timeouts: 0, responses received: [200]
second 38: 3 requests - average time: 227.33 ms, timeouts: 0, responses received: [200]
second 39: 2 requests - average time: 336.5 ms, timeouts: 0, responses received: [200]
second 40: 9 requests - average time: 61.45 ms, timeouts: 0, responses received: [200]
second 41: 1 requests - average time: 246 ms, timeouts: 0, responses received: [200]
second 42: 5 requests - average time: 118.97 ms, timeouts: 0, responses received: [200]
second 43: 2 requests - average time: 282.5 ms, timeouts: 0, responses received: [200]
second 44: 2 requests - average time: 275 ms, timeouts: 0, responses received: [200]
second 45: 2 requests - average time: 339.5 ms, timeouts: 0, responses received: [200]
second 46: 2 requests - average time: 333 ms, timeouts: 0, responses received: [200]
second 47: 3 requests - average time: 249.17 ms, timeouts: 0, responses received: [200]
second 48: 1 requests - average time: 358 ms, timeouts: 0, responses received: [200]
second 49: 5 requests - average time: 124.92 ms, timeouts: 0, responses received: [200]
second 50: 3 requests - average time: 239.33 ms, timeouts: 0, responses received: [200]
second 51: 4 requests - average time: 148.38 ms, timeouts: 0, responses received: [200]
second 52: 4 requests - average time: 190.63 ms, timeouts: 0, responses received: [200]
second 53: 4 requests - average time: 137.54 ms, timeouts: 0, responses received: [200]
second 54: 1 requests - average time: 248 ms, timeouts: 0, responses received: [200]
second 55: 5 requests - average time: 109.04 ms, timeouts: 0, responses received: [200]
second 56: 5 requests - average time: 118.24 ms, timeouts: 0, responses received: [200]
