[currentSecond, requestsSent, averageResponse, Timeouts, Responses]
0,3,351,0,"[200]"
1,3,280,0,"[200]"
2,2,347.5,0,"[200]"
3,1,384,0,"[200]"
4,3,219,0,"[200]"
5,2,336.5,0,"[200]"
6,3,291.33,0,"[200]"
7,1,186,0,"[200]"
8,3,384.33,0,"[200]"
9,10,383.2,0,"[200]"
10,10,345,0,"[200]"
11,1,348,0,"[200]"
12,1,294,0,"[200]"
13,4,277.75,0,"[200]"
14,2,360.5,0,"[200]"
15,8,366.25,0,"[200]"
16,9,331.44,0,"[200]"
17,12,334.58,0,"[200]"
18,8,355.5,0,"[200]"
19,9,286.89,0,"[200]"
20,4,336,0,"[200]"
21,5,334.8,0,"[200]"
22,5,345,0,"[200]"
23,1,388,0,"[200]"
24,4,340.25,0,"[200]"
25,1,376,0,"[200]"
26,3,273.67,0,"[200]"
27,1,272,0,"[200]"
28,3,343.67,0,"[200]"
29,4,305,0,"[200]"
30,2,233.5,0,"[200]"
31,1,458,0,"[200]"
32,3,233,0,"[200]"
33,1,431,0,"[200]"
34,3,301,0,"[200]"
35,3,302.33,0,"[200]"
36,1,271,0,"[200]"
37,4,295.75,0,"[200]"
38,3,351.67,0,"[200]"
39,2,237,0,"[200]"
40,9,313.22,0,"[200]"
41,1,467,0,"[200]"
42,5,413.6,0,"[200]"
43,2,324,0,"[200]"
44,2,327,0,"[200]"
45,2,351.5,0,"[200]"
46,2,378.5,0,"[200]"
47,3,312.67,0,"[200]"
48,1,164,0,"[200]"
49,5,310.4,0,"[200]"
50,3,375.33,0,"[200]"
51,4,317.25,0,"[200]"
52,4,293.75,0,"[200]"
53,4,303,0,"[200]"
54,1,461,0,"[200]"
55,5,330.2,0,"[200]"
56,5,290.6,0,"[200]"
