Totals :  requests (607), responses (607), http errors (0), average response time: 341.01 ms.
second 0: 16 requests - average time: 33.99 ms, timeouts: 0, responses received: [200]
second 1: 28 requests - average time: 19.1 ms, timeouts: 0, responses received: [200]
second 2: 7 requests - average time: 84.46 ms, timeouts: 0, responses received: [200]
second 3: 3 requests - average time: 253.5 ms, timeouts: 0, responses received: [200]
second 4: 29 requests - average time: 17.81 ms, timeouts: 0, responses received: [200]
second 5: 22 requests - average time: 25.02 ms, timeouts: 0, responses received: [200]
second 6: 3 requests - average time: 206.33 ms, timeouts: 0, responses received: [200]
second 7: 27 requests - average time: 18.73 ms, timeouts: 0, responses received: [200]
second 8: 25 requests - average time: 20.55 ms, timeouts: 0, responses received: [200]
second 9: 2 requests - average time: 447.5 ms, timeouts: 0, responses received: [200]
second 10: 30 requests - average time: 17.39 ms, timeouts: 0, responses received: [200]
second 11: 32 requests - average time: 16.72 ms, timeouts: 0, responses received: [200]
second 12: 10 requests - average time: 46.48 ms, timeouts: 0, responses received: [200]
second 13: 27 requests - average time: 19.7 ms, timeouts: 0, responses received: [200]
second 14: 23 requests - average time: 21.46 ms, timeouts: 0, responses received: [200]
second 15: 4 requests - average time: 165.71 ms, timeouts: 0, responses received: [200]
second 16: 2 requests - average time: 313 ms, timeouts: 0, responses received: [200]
second 17: 8 requests - average time: 71.18 ms, timeouts: 0, responses received: [200]
second 18: 9 requests - average time: 58.71 ms, timeouts: 0, responses received: [200]
second 19: 12 requests - average time: 46.16 ms, timeouts: 0, responses received: [200]
second 20: 8 requests - average time: 64.35 ms, timeouts: 0, responses received: [200]
second 21: 9 requests - average time: 57.37 ms, timeouts: 0, responses received: [200]
second 22: 4 requests - average time: 149.21 ms, timeouts: 0, responses received: [200]
second 23: 5 requests - average time: 105.01 ms, timeouts: 0, responses received: [200]
second 24: 5 requests - average time: 116.75 ms, timeouts: 0, responses received: [200]
second 25: 1 requests - average time: 274 ms, timeouts: 0, responses received: [200]
second 26: 4 requests - average time: 143.67 ms, timeouts: 0, responses received: [200]
second 27: 1 requests - average time: 503 ms, timeouts: 0, responses received: [200]
second 28: 3 requests - average time: 188.17 ms, timeouts: 0, responses received: [200]
second 29: 1 requests - average time: 454 ms, timeouts: 0, responses received: [200]
second 30: 3 requests - average time: 154.83 ms, timeouts: 0, responses received: [200]
second 31: 4 requests - average time: 109.58 ms, timeouts: 0, responses received: [200]
second 32: 2 requests - average time: 365.5 ms, timeouts: 0, responses received: [200]
second 33: 1 requests - average time: 484 ms, timeouts: 0, responses received: [200]
second 34: 3 requests - average time: 225.83 ms, timeouts: 0, responses received: [200]
second 35: 1 requests - average time: 450 ms, timeouts: 0, responses received: [200]
second 36: 3 requests - average time: 253.17 ms, timeouts: 0, responses received: [200]
second 37: 3 requests - average time: 251.33 ms, timeouts: 0, responses received: [200]
second 38: 1 requests - average time: 362 ms, timeouts: 0, responses received: [200]
second 39: 4 requests - average time: 155.13 ms, timeouts: 0, responses received: [200]
second 40: 3 requests - average time: 192.5 ms, timeouts: 0, responses received: [200]
second 41: 2 requests - average time: 402.5 ms, timeouts: 0, responses received: [200]
second 42: 14 requests - average time: 39.12 ms, timeouts: 0, responses received: [200]
second 43: 7 requests - average time: 81.42 ms, timeouts: 0, responses received: [200]
second 44: 6 requests - average time: 99.49 ms, timeouts: 0, responses received: [200]
second 45: 3 requests - average time: 173.83 ms, timeouts: 0, responses received: [200]
second 46: 3 requests - average time: 220.17 ms, timeouts: 0, responses received: [200]
second 47: 2 requests - average time: 390.5 ms, timeouts: 0, responses received: [200]
second 48: 2 requests - average time: 372 ms, timeouts: 0, responses received: [200]
second 49: 25 requests - average time: 21.57 ms, timeouts: 0, responses received: [200]
second 50: 27 requests - average time: 18.99 ms, timeouts: 0, responses received: [200]
second 51: 5 requests - average time: 117.39 ms, timeouts: 0, responses received: [200]
second 52: 19 requests - average time: 27.58 ms, timeouts: 0, responses received: [200]
second 53: 29 requests - average time: 17.28 ms, timeouts: 0, responses received: [200]
second 54: 11 requests - average time: 48.48 ms, timeouts: 0, responses received: [200]
second 55: 5 requests - average time: 122.67 ms, timeouts: 0, responses received: [200]
second 56: 28 requests - average time: 18.94 ms, timeouts: 0, responses received: [200]
second 57: 26 requests - average time: 20.34 ms, timeouts: 0, responses received: [200]
second 58: 5 requests - average time: 106.2 ms, timeouts: 0, responses received: [200]
