currentSecond, requestsSent, averageResponse, Timeouts, TotalBytes, Total403and404, Responses
0,49,316.18,0,764342,0,"[200]"
1,77,263.49,0,1181920,0,"[200]"
2,89,268.72,0,1455541,0,"[200]"
3,55,196.68,0,778170,5,"[200,404]"
4,35,156.5,0,198434,17,"[404,200]"
5,10,131.13,0,98980,2,"[404,200]"
6,8,133,0,105345,0,"[200]"
7,4,132.25,0,52420,0,"[200]"
8,5,143.4,0,64798,0,"[200]"
9,27,141.33,0,32282,24,"[404,200]"
10,55,211.11,0,834748,1,"[404,200]"
11,61,212.61,0,957173,0,"[200]"
12,53,195.21,0,808953,1,"[200,404]"
