currentSecond, requestsSent, averageResponse, Timeouts, TotalBytes, Total403and404, Responses
0,319,1601.34,0,4281198,46,"[200,404,403]"
1,283,2182.23,6,3031138,81,"[404,200,403,0]"
2,265,1950.87,10,2007343,125,"[404,200,403,0]"
3,117,1208.95,0,602075,74,"[404,200,403]"
4,144,1908.14,3,888829,85,"[404,200,403,0]"
5,249,833.25,5,1077645,177,"[404,200,403,0]"
6,534,2117.98,14,6327436,114,"[404,200,403,0]"
7,226,2442.06,4,2686340,61,"[200,404,403,0]"
8,467,1858.57,10,5780888,78,"[200,403,0]"
9,491,2295.59,0,6262137,82,"[404,200,403]"
10,278,3255.62,0,2815762,79,"[200,404,403]"
11,99,3024.91,0,606370,53,"[404,200,403]"
12,302,2268.74,0,3012897,80,"[200,404,403]"
13,421,2776.91,0,5363031,67,"[200,404,403]"
14,409,3150.09,0,4859955,94,"[404,200,403]"
15,72,1599.86,0,439103,36,"[404,200,403]"
