currentSecond, requestsSent, averageResponse, Timeouts, Responses
0,83,284.51,0,"[200,403]"
1,201,441.72,0,"[200,403]"
2,66,189.03,0,"[404,200,403]"
3,23,234.39,0,"[404,200,403]"
4,31,185.87,0,"[404,200,403]"
5,99,246.44,0,"[404,200,403]"
6,161,325.75,0,"[200,404,403]"
7,95,1024.4,0,"[200,404,403]"
8,69,202.72,0,"[404,200,403]"
9,26,263.88,0,"[200,403]"
10,33,321.73,0,"[404,200,403]"
11,33,282.7,0,"[404,200,403]"
12,27,254.56,0,"[404,200,403]"
13,25,234.88,0,"[200,403]"
14,20,201.05,0,"[200,403]"
15,38,203.87,0,"[200,403]"
16,36,212.69,0,"[404,200,403]"
17,30,224.53,0,"[404,200,403]"
18,56,203.16,0,"[404,200,403]"
19,66,449.24,0,"[404,200,403]"
20,78,201.15,0,"[404,200,403]"
21,56,191.7,0,"[404,200,403]"
22,73,223.22,0,"[200,404,403]"
23,202,344.89,0,"[200,404,403]"
24,171,313.86,0,"[200,404,403]"
25,88,225.35,0,"[404,200,403]"
26,77,192.14,0,"[404,200,403]"
27,51,199.35,0,"[200,403]"
28,51,620.71,0,"[200,403]"
29,46,997.39,0,"[404,200,403]"
30,50,227.2,0,"[200,404,403]"
31,69,429.8,0,"[200,403]"
32,55,272.73,0,"[200,403]"
33,215,1041.01,0,"[200,403]"
34,199,469.74,0,"[200,403]"
35,29,272.34,0,"[404,200,403]"
36,156,330.12,0,"[404,200,403]"
37,177,342.02,0,"[200,404,403]"
38,56,207.77,0,"[200,403]"
39,81,525.43,0,"[200,403]"
40,94,484.85,0,"[200,403]"
41,62,544.26,0,"[404,200,403]"
42,28,225.71,0,"[404,200,403]"
43,22,287.91,0,"[200,403]"
44,17,287.12,0,"[200,403]"
45,26,244.88,0,"[404,200,403]"
46,106,1904.96,0,"[200,403]"
47,79,2140.73,0,"[200,404,403]"
48,74,957.39,0,"[200,403,404]"
49,53,981.09,0,"[200,404,403]"
50,106,302.17,0,"[404,200,403]"
51,201,1264.44,0,"[200,403,404]"
52,66,209.91,0,"[200,404,403]"
53,45,224.16,0,"[404,200,403]"
54,34,338.35,0,"[404,200,403]"
55,109,319.04,0,"[404,200,403]"
56,186,804.91,0,"[404,200,403]"
57,83,462.47,0,"[200,403]"
58,33,313.3,0,"[404,200,403]"
59,39,249.64,0,"[404,200,403]"
60,15,262.2,0,"[404,200,403]"
